jfcode,name,status,product_id,sku,image_url
JF1116,Inksafe Cohesive Bandages 2.5 x 4.5cm x 12 Rolls - Black,End Of Line,2323,JF1116,
JF1117,Inksafe Cohesive Bandages 2.5 x 4.5cm x 12 Rolls - Blue,End Of Line,2324,JF1117,
JF1118,Inksafe Cohesive Bandages 2.5 x 4.5cm x 12 Rolls - Tan,End Of Line,2325,JF1118,
JF1119,1ml Novotip Syringe 100pcs Pouch,Live,,,
JF1148,Novotip Syringe - 5ml - Pouch,Live,,,
JF1150,Novotip Syringe - 10ml - Pouch,Live,,,
JF1152,Novotip Syringe - 20ml - Pouch,Live,,,
JF1159,Snugfast Finger Dressing - 4x4cm- Wrapper,Live,,,
JF1161,Cutiderm Adhesive Wound Dressing 5x7.5cm - Pouch,Live,,,
JF1163,JFA Medical Conforming Bandages 5cm x 4m - Wrapper,Live,,,
JF1165,JFA Medical Conforming Bandages 10cm x 4m - Wrapper,Live,,,
JF1167,JFA Medical Crepe Bandages 5cm x 4.5m - Box of 6 -  Wrapper,Live,,,
JF1169,JFA Medical Crepe Bandages 7.5cm x 4.5m - Wrapper,Live,,,
JF1171,JFA Medical Crepe Bandages 10cm x 4.5m - Wrapper,Live,,,
JF1180,Washproof Plasters 100Pcs (For F12GR + KIT-BSIST),Live,,,
JF1184,Reliance Saline Wipe FIRST AID KIT,Live,,,
JF1185,JFA Medical Nitrile Gloves FIRST AID KIT,Live,,,
JF1186,Finger Dressing Pad with Bandage FIRST AID KIT,Live,,,
JF1193,JFA Adhesive wound dressing 7.5CM X 5CM - Individual for FAK,Live,,,
JF1194,JFA Adhesive wound dressing 7.0CM X 6.0CM - Individual for FAK,Live,,,
JF1195,JFA Adhesive wound dressing 8.6CM X 6.0CM - Individual for FAK,Live,,,
JF1196,JFA Emergency Foil Blanket - 5 in a Pack - Insert sheet for FAK,Live,,,
JF1197,JFA Emergency face Shield - insert for FAK,Live,,,
JF1214,JFA Sterile Gauze Swabs 10x20 - Pouch,Live,,,
JF1267,JFA Supplies PVC Electrical Tape -Green,Live,,,
JF1268,JFA Supplies PVC Electrical Tape -Black,Live,,,
JF1269,JFA Supplies PVC Electrical Tape -Yellow,Live,,,
JF1270,JFA Supplies PVC Electrical Tape -Red,Live,,,
JF1271,JFA Supplies PVC Electrical Tape -Yellow/Green,Live,,,
JF1272,JFA Supplies PVC Electrical Tape -Blue,Live,,,
JF1273,JFA Supplies PVC Electrical Tape -White 1 Piece (Assorted),Live,,,
JF1274,JFA Supplies PVC Electrical Tape -Grey,Live,,,
JF1275,JFA Supplies PVC Electrical Tape -Brown,Live,,,
JF1288,JFA Supplies Aluminium Foil Tape 48mm x 10m - Pack of 1,Live,,,
JF1290,Novotip 50ml Syringe - Pouch,Live,,,
